match_id,radiant_win,duration,avg_mmr,game_mode,start_time
6880933205,True,1823,3191.0,22,1669213404
6880933001,False,1975,,22,1669213411
6880932916,False,1946,3918.0,22,1669213383
6880932812,False,1424,,4,1669213399
6880932806,False,744,,22,1669213401
6880932712,True,1874,,22,1669213400
6880932704,False,1380,,22,1669213394
6880932702,True,1350,3270.0,22,1669213390
6880932601,False,1881,1524.0,4,1669213368
6880974509,True,788,853.0,22,1669214693
6880967608,False,551,4058.0,22,1669214471
6880964906,True,1110,3548.0,3,1669214387
6880963712,True,1086,,22,1669214339
6880961402,True,553,2573.0,22,1669214285
6880960112,True,940,,22,1669214245
6880958106,True,1078,2833.0,22,1669214180
6880955508,True,786,5890.0,22,1669214102
6880954810,False,1184,,22,1669214079
6880953401,True,1348,3137.0,22,1669214020
6880953201,False,660,3944.0,22,1669214030
6880952511,True,665,3262.0,22,1669213996
6880951619,True,936,,22,1669213981
6880950609,True,1322,1834.0,22,1669213952
6880950413,True,1318,1842.0,22,1669213936
6880950305,False,1121,805.0,22,1669213941
6880949605,True,1421,4373.0,22,1669213916
6880949502,True,960,,22,1669213914
6880949004,True,1457,1836.0,22,1669213900
6880948904,False,1576,3887.0,22,1669213896
6880948102,True,1373,3212.0,22,1669213874
6880947619,True,1306,2725.0,22,1669213855
6880947613,True,1629,3602.0,22,1669213854
6880947610,True,1327,959.0,4,1669213851
6880947513,True,1357,1948.0,22,1669213854
6880947406,False,1528,,22,1669213814
6880945802,True,1652,,22,1669213804
6880945518,False,1551,3180.0,22,1669213776
6880945517,False,1641,2374.0,22,1669213767
6880945011,False,1616,2613.0,22,1669213760
6880944710,True,966,,22,1669213765
6880944500,True,1275,,22,1669213759
6880944202,True,1490,,4,1669213750
6880943106,True,1249,3167.0,22,1669213719
6880943009,True,1664,,22,1669213701
6880942906,False,1146,3810.0,22,1669213716
6880942903,True,1115,1803.0,22,1669213715
6880942716,True,1678,,22,1669213710
6880942307,False,1599,3495.0,22,1669213689
6880941504,True,1714,2981.0,22,1669213670
6880941315,True,1810,3738.0,22,1669213659
6880940903,True,1879,,22,1669213649
6880940815,False,1210,2729.0,22,1669213649
6880940811,False,1501,,22,1669213645
6880940710,False,1747,2867.0,22,1669213644
6880940415,False,1633,2784.0,4,1669213620
6880940209,False,1851,4197.0,3,1669213616
6880940009,True,1829,506.0,22,1669213613
6880939912,True,1875,,22,1669213621
6880939414,False,1797,2266.0,22,1669213605
6880939412,False,1242,3682.0,22,1669213604
6880939410,False,1788,1655.0,4,1669213605
6880939218,False,1696,,22,1669213590
6880939202,True,1861,2579.0,22,1669213600
6880939000,True,1748,3334.0,4,1669213594
6880938914,False,1827,3544.0,22,1669213591
6880938910,True,560,3677.0,22,1669213588
6880938901,True,1687,,22,1669213589
6880938806,False,1183,3082.0,22,1669213584
6880938700,False,1611,1389.0,22,1669213568
6880938617,True,1919,2410.0,22,1669213581
6880938612,True,1903,,22,1669213575
6880938610,False,1894,2062.0,22,1669213574
6880938516,False,1402,,22,1669213573
6880938414,False,1355,,4,1669213555
6880938019,False,1943,3989.0,22,1669213556
6880938015,False,1742,4226.0,22,1669213549
6880938001,False,1953,,22,1669213566
6880937904,False,1908,4337.0,22,1669213559
6880937711,True,1725,,22,1669213556
6880937709,True,1904,3449.0,3,1669213555
6880937618,True,1754,2239.0,22,1669213551
6880937612,False,1877,5297.0,22,1669213544
6880937414,True,1714,,22,1669213544
6880937412,True,1360,,22,1669213544
6880937401,True,1780,,22,1669213506
6880937315,False,1365,,22,1669213536
6880937208,True,1948,465.0,22,1669213539
6880936918,True,1859,3918.0,22,1669213529
6880936906,False,1642,3462.0,22,1669213524
6880936718,True,1976,2191.0,3,1669213509
6880936609,True,1886,,5,1669213519
6880936605,True,947,4031.0,3,1669213519
6880936511,True,1636,3746.0,22,1669213505
6880936510,True,1896,3292.0,22,1669213516
6880936505,False,1866,,22,1669213514
6880936402,False,1846,1183.0,22,1669213514
6880936119,True,1987,3120.0,22,1669213494
6880936017,False,1685,,22,1669213499
6880936009,True,1718,,4,1669213479
6880935900,True,1604,3010.0,22,1669213499
6880935419,False,1611,,22,1669213485
6880935407,True,1926,3455.0,22,1669213475
6880935311,True,1803,3937.0,22,1669213475
6880935117,False,687,5223.0,22,1669213461
6880935000,False,1517,,22,1669213471
6880934913,True,1890,1963.0,22,1669213460
6880934717,True,1906,3179.0,22,1669213463
6880934716,False,1796,3339.0,22,1669213463
6880934313,False,1919,3807.0,3,1669213448
6880974509,True,788,853.0,22,1669214693
6880967608,False,551,4058.0,22,1669214471
6880964906,True,1110,3548.0,3,1669214387
6880963712,True,1086,,22,1669214339
6880961402,True,553,2573.0,22,1669214285
6880960712,True,1280,3824.0,22,1669214243
6880960112,True,940,,22,1669214245
6880958106,True,1078,2833.0,22,1669214180
6880955508,True,786,5890.0,22,1669214102
6880954810,False,1184,,22,1669214079
6880954418,True,1506,1709.0,22,1669214065
6880953401,True,1348,3137.0,22,1669214020
6880953201,False,660,3944.0,22,1669214030
6880952511,True,665,3262.0,22,1669213996
6880951619,True,936,,22,1669213981
6880950609,True,1322,1834.0,22,1669213952
6880950413,True,1318,1842.0,22,1669213936
6880950305,False,1121,805.0,22,1669213941
6880950205,True,1577,3689.0,22,1669213940
6880949904,False,1636,,22,1669213930
6880949605,True,1421,4373.0,22,1669213916
6880949502,True,960,,22,1669213914
6880949004,True,1457,1836.0,22,1669213900
